model,dataset,n_injected,n_benign,roc_auc,pr_auc,f1_at_0.5
GPT-2,advbench,50,50,0.9612,0.9733,0.9149
GPT-2,agentdojo,50,50,1.0,1.0,0.9796
GPT-2,injecagent,50,50,0.4368,0.4542,0.4752
GPT-2,llmlat_benign,0,100,,,
GPT-2,stealthy,30,30,0.9511,0.9686,0.8727
GPT-2,OVERALL,180,280,0.8998,0.8553,0.7744
Llama-3.2-3B-Instruct,advbench,50,50,0.9704,0.9817,0.8889
Llama-3.2-3B-Instruct,agentdojo,50,50,1.0,1.0,1.0
Llama-3.2-3B-Instruct,injecagent,50,50,0.3464,0.433,0.3883
Llama-3.2-3B-Instruct,llmlat_benign,0,100,,,
Llama-3.2-3B-Instruct,stealthy,30,30,0.9733,0.9808,0.8235
Llama-3.2-3B-Instruct,OVERALL,180,280,0.889,0.8332,0.7298
TinyLlama-1.1B-Chat,advbench,50,50,0.9788,0.9819,0.9011
TinyLlama-1.1B-Chat,agentdojo,50,50,1.0,1.0,0.9899
TinyLlama-1.1B-Chat,injecagent,50,50,0.3216,0.3971,0.3505
TinyLlama-1.1B-Chat,llmlat_benign,0,100,,,
TinyLlama-1.1B-Chat,stealthy,30,30,0.9322,0.9571,0.8235
TinyLlama-1.1B-Chat,OVERALL,180,280,0.8659,0.7994,0.7378
Llama-3.2-1B-Instruct,advbench,50,50,0.9532,0.9639,0.8636
Llama-3.2-1B-Instruct,agentdojo,50,50,0.98,0.99,0.9796
Llama-3.2-1B-Instruct,injecagent,50,50,0.3364,0.4241,0.3043
Llama-3.2-1B-Instruct,llmlat_benign,0,100,,,
Llama-3.2-1B-Instruct,stealthy,30,30,0.9378,0.952,0.5714
Llama-3.2-1B-Instruct,OVERALL,180,280,0.8583,0.7966,0.6627
