Block,Train_DS,Test_DS,Layer_ID,Layer_Pos,Probe,AUROC,AUPRC,F1,Opt-F1
In-Domain,advbench,advbench,0,0,Linear Probe,1.0,1.0,1.0,1.0
In-Domain,advbench,advbench,0,0,MLP Probe,1.0,1.0,1.0,1.0
In-Domain,advbench,advbench,5,1,Linear Probe,1.0,1.0,1.0,1.0
In-Domain,advbench,advbench,5,1,MLP Probe,1.0,1.0,1.0,1.0
In-Domain,advbench,advbench,11,2,Linear Probe,1.0,1.0,1.0,1.0
In-Domain,advbench,advbench,11,2,MLP Probe,1.0,1.0,1.0,1.0
In-Domain,advbench,advbench,16,3,Linear Probe,1.0,1.0,1.0,1.0
In-Domain,advbench,advbench,16,3,MLP Probe,1.0,1.0,1.0,1.0
In-Domain,advbench,advbench,21,4,Linear Probe,1.0,1.0,1.0,1.0
In-Domain,advbench,advbench,21,4,MLP Probe,1.0,1.0,1.0,1.0
In-Domain,injecagent,injecagent,0,0,Linear Probe,0.4225,0.4492,0.4993,0.6667
In-Domain,injecagent,injecagent,0,0,MLP Probe,0.4955,0.4721,0.0716,0.6681
In-Domain,injecagent,injecagent,5,1,Linear Probe,0.2101,0.3463,0.261,0.6667
In-Domain,injecagent,injecagent,5,1,MLP Probe,0.5023,0.4973,0.0,0.6667
In-Domain,injecagent,injecagent,11,2,Linear Probe,0.1885,0.3415,0.2508,0.6667
In-Domain,injecagent,injecagent,11,2,MLP Probe,0.4497,0.4388,0.0265,0.6674
In-Domain,injecagent,injecagent,16,3,Linear Probe,0.1906,0.3445,0.2814,0.6674
In-Domain,injecagent,injecagent,16,3,MLP Probe,0.5236,0.5128,0.0,0.6667
In-Domain,injecagent,injecagent,21,4,Linear Probe,0.1729,0.3368,0.2317,0.6667
In-Domain,injecagent,injecagent,21,4,MLP Probe,0.5323,0.5229,0.6667,0.6674
In-Domain,stealthy,stealthy,0,0,Linear Probe,1.0,1.0,1.0,1.0
In-Domain,stealthy,stealthy,0,0,MLP Probe,1.0,1.0,1.0,1.0
In-Domain,stealthy,stealthy,5,1,Linear Probe,1.0,1.0,0.9412,1.0
