layer,energy,fiedler_value,hfer,smoothness_index,spectral_entropy
0,0.6243,0.6502,0.6139,0.5528,0.6171
1,0.6006,0.6138,0.6315,0.6913,0.536
2,0.5526,0.6145,0.6163,0.61,0.4795
3,0.5919,0.6174,0.558,0.6208,0.5286
4,0.658,0.6184,0.5138,0.6641,0.5338
5,0.6687,0.6347,0.5037,0.67,0.5758
6,0.6614,0.6252,0.5046,0.6639,0.5629
7,0.6597,0.587,0.4476,0.6415,0.5803
8,0.6662,0.6123,0.4589,0.6461,0.5789
9,0.6299,0.6475,0.4919,0.6085,0.5678
10,0.6275,0.6433,0.5035,0.6192,0.547
11,0.6518,0.6343,0.587,0.7696,0.6108
