layer,energy,fiedler_value,hfer,smoothness_index,spectral_entropy
0,0.6193,0.6328,0.5044,0.6538,0.5276
1,0.5953,0.6184,0.5421,0.5945,0.5703
2,0.59,0.661,0.5237,0.5885,0.6193
3,0.5926,0.6725,0.5231,0.5912,0.5981
4,0.5887,0.644,0.5234,0.5856,0.5812
5,0.5888,0.6729,0.5171,0.5853,0.5523
6,0.5966,0.6067,0.5212,0.5946,0.5296
7,0.5976,0.6401,0.5209,0.5946,0.5287
8,0.5932,0.6603,0.5198,0.5892,0.5341
9,0.5966,0.6422,0.5187,0.5939,0.5463
10,0.6005,0.618,0.513,0.5969,0.533
11,0.6011,0.6113,0.5111,0.5989,0.521
12,0.6072,0.6317,0.5162,0.6084,0.5441
13,0.6079,0.6324,0.5143,0.6119,0.5268
14,0.6046,0.617,0.5241,0.6141,0.5443
15,0.6169,0.636,0.5248,0.6336,0.5581
16,0.6182,0.6104,0.5334,0.6105,0.5694
17,0.6355,0.645,0.5303,0.4736,0.5821
18,0.6244,0.6342,0.5275,0.4603,0.5775
19,0.5255,0.5858,0.5254,0.6018,0.5651
20,0.6244,0.5852,0.5229,0.6436,0.5907
21,0.6253,0.6188,0.5203,0.6419,0.6182
22,0.6283,0.6338,0.5209,0.6523,0.6253
23,0.6254,0.6402,0.5174,0.6539,0.6133
24,0.6114,0.6437,0.5189,0.6464,0.6018
25,0.5893,0.6345,0.4977,0.6231,0.6094
26,0.7024,0.631,0.4876,0.6095,0.5909
27,0.6228,0.6111,0.4394,0.5262,0.4975
