layer,energy,fiedler_value,hfer,smoothness_index,spectral_entropy
0,0.6135,0.6067,0.6208,0.5479,0.6634
1,0.6251,0.4953,0.5778,0.6126,0.6141
2,0.6084,0.5013,0.6543,0.6087,0.522
3,0.6106,0.6528,0.5255,0.6064,0.5989
4,0.6175,0.6415,0.5302,0.6173,0.6132
5,0.6202,0.6342,0.5269,0.6188,0.5941
6,0.625,0.6617,0.5289,0.6267,0.5503
7,0.5615,0.6731,0.529,0.5128,0.5549
8,0.5354,0.5663,0.5468,0.5848,0.5956
9,0.5381,0.5773,0.5265,0.5793,0.5837
10,0.556,0.5636,0.5111,0.6044,0.5492
11,0.5581,0.6182,0.521,0.5542,0.5489
12,0.5682,0.6186,0.5196,0.4512,0.5616
13,0.5699,0.6273,0.5207,0.563,0.5614
14,0.5683,0.6115,0.526,0.5852,0.5645
15,0.5634,0.5852,0.4978,0.5349,0.5939
16,0.5653,0.5992,0.5086,0.6076,0.5669
17,0.5751,0.5878,0.4745,0.6212,0.5627
18,0.6044,0.5827,0.525,0.618,0.573
19,0.6146,0.506,0.5086,0.6113,0.5341
20,0.6271,0.4662,0.5579,0.6247,0.5136
21,0.6275,0.5654,0.5647,0.5249,0.5406
